pr_number,total_commits,human_commits,bot_commits,agent_commits,pattern,contributors,pr_title,pr_created_at,pr_merged_at,error
9086,8,6,0,2,hybrid,"human, agent",chore - Add pydantic lib to type checking,2025-06-11 21:57:14+00:00,2025-06-26 18:31:42+00:00,
9085,30,22,0,8,hybrid,"human, agent",Add CLI/vscode integration,2025-06-11 21:41:32+00:00,2025-07-03 20:42:06+00:00,
9084,3,2,0,1,hybrid,"human, agent",Add secrets manager documentation to GUI mode docs,2025-06-11 21:24:06+00:00,2025-06-14 16:13:24+00:00,
9082,1,0,0,1,agent_only,agent,Move Advanced Configurations under Running OpenHands on your Own,2025-06-11 20:08:03+00:00,2025-06-11 20:36:17+00:00,
9081,2,1,0,1,hybrid,"human, agent",Split core types package,2025-06-11 19:20:51+00:00,,
9080,2,2,0,0,human_only,human,Fix VSCode workspace dir,2025-06-11 18:26:06+00:00,2025-06-11 19:32:00+00:00,
9079,1,1,0,0,human_only,human,Save CLI settings directly under ~/.openhands,2025-06-11 18:11:18+00:00,2025-06-11 19:07:40+00:00,
9078,10,5,0,5,hybrid,"human, agent",Add workspace settings configuration to CLI,2025-06-11 18:09:32+00:00,,
9076,1,1,0,0,human_only,human,Make sure redirect URI is HTTPS unless it is for localhost,2025-06-11 17:58:06+00:00,2025-06-11 18:19:15+00:00,
9075,2,1,0,1,hybrid,"human, agent",Patch release 0.42.1,2025-06-11 17:06:34+00:00,,
9074,7,7,0,0,human_only,human,Update CLI docs,2025-06-11 17:02:17+00:00,2025-06-23 21:58:52+00:00,
9073,1,1,0,0,human_only,human,Update cli-mode.mdx to tell how settings are set,2025-06-11 16:29:47+00:00,,
9072,2,2,0,0,human_only,human,fix: fix unreachable runtime container in make docker-dev,2025-06-11 16:18:50+00:00,2025-06-12 16:46:11+00:00,
9071,1,1,0,0,human_only,human,Fix libgl1 package for mswebench base images,2025-06-11 15:48:07+00:00,2025-07-11 15:30:34+00:00,
9070,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group across 1 directory with 11 updates,2025-06-11 15:14:01+00:00,,
9066,3,2,1,0,hybrid,"bot, human",chore(deps): bump the version-all group across 1 directory with 24 updates,2025-06-11 14:30:04+00:00,2025-06-12 14:31:35+00:00,
9064,30,22,0,8,hybrid,"human, agent",Add vscode runtime,2025-06-11 13:39:41+00:00,,
9063,1,1,0,0,human_only,human,chore: Add deprecated tag to `ActionMessage` type,2025-06-11 13:15:30+00:00,2025-06-11 14:34:07+00:00,
9062,2,2,0,0,human_only,human,"docs: added devstral to llms list, added local llms in local setup",2025-06-11 11:42:53+00:00,2025-06-11 14:22:15+00:00,
9058,5,5,0,0,human_only,human,Minor Typo Fixes in Comments and Documentation,2025-06-11 08:44:35+00:00,2025-06-14 12:51:39+00:00,
9057,12,12,0,0,human_only,human,[GAIA] Add prompt improvement to alleviate solution parsing issue & support Tavily search tools,2025-06-11 06:07:26+00:00,2025-06-17 06:16:50+00:00,
9056,3,3,0,0,human_only,human,Add more log context on key events,2025-06-11 04:43:14+00:00,2025-06-11 16:34:16+00:00,
9054,1,1,0,0,human_only,human,Update repo.md,2025-06-11 01:13:00+00:00,2025-06-11 01:51:13+00:00,
9053,1,1,0,0,human_only,human,[Fix]: model tracking in convo metadata,2025-06-10 21:34:45+00:00,2025-06-11 02:19:33+00:00,
9052,13,10,0,3,hybrid,"human, agent",fix: Context window truncation makes progress,2025-06-10 20:03:16+00:00,2025-06-11 18:47:34+00:00,
9051,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group across 1 directory with 21 updates,2025-06-10 18:26:07+00:00,,
9050,21,20,0,1,hybrid,"human, agent",Runtime Status Fixes,2025-06-10 18:16:10+00:00,2025-06-11 15:28:18+00:00,
9049,2,2,0,0,human_only,human,chore(ui): update tailwind,2025-06-10 16:56:14+00:00,2025-06-10 18:20:05+00:00,
9047,1,0,0,1,agent_only,agent,docs: Add TanStack Query state management documentation,2025-06-10 16:47:00+00:00,2025-06-10 20:44:00+00:00,
9046,1,1,0,0,human_only,human,Release 0.42.0,2025-06-10 15:45:31+00:00,2025-06-10 20:34:10+00:00,
9045,1,0,0,1,agent_only,agent,Add gray circle background to pause button for better visibility,2025-06-10 15:41:25+00:00,,
9044,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group with 3 updates,2025-06-10 15:12:33+00:00,,
9043,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group across 1 directory with 25 updates,2025-06-10 14:55:36+00:00,,
9042,1,0,1,0,bot_only,bot,chore(deps): bump ubuntu from 22.04 to 24.04 in /containers/e2b-sandbox,2025-06-10 14:49:58+00:00,2025-06-21 19:23:42+00:00,
9041,1,0,1,0,bot_only,bot,chore(deps): bump ubuntu from 22.04 to 24.04 in /containers/dev,2025-06-10 14:49:56+00:00,,
9040,1,0,1,0,bot_only,bot,chore(deps): bump node from 22.16.0-bookworm-slim to 24.2.0-bookworm-slim in /containers/app,2025-06-10 14:49:54+00:00,2025-06-30 13:40:14+00:00,
9039,1,0,1,0,bot_only,bot,chore(deps): bump python from 3.12.10-slim to 3.13.4-slim in /containers/app,2025-06-10 14:49:26+00:00,,
9038,2,2,0,0,human_only,human,docs: add links to other language versions of README,2025-06-10 13:33:37+00:00,2025-06-11 13:49:40+00:00,
9035,1,1,0,0,human_only,human,chore: add git to docker,2025-06-10 05:44:14+00:00,,
9033,30,26,0,4,hybrid,"human, agent",Add warm server functionality to local runtime,2025-06-10 03:49:42+00:00,2025-07-10 18:12:39+00:00,
9032,3,3,0,0,human_only,human,"Feat: Visualize Agent Loop (User Input, Agent Output, Action-Obs pair…",2025-06-10 03:11:52+00:00,,
9031,1,0,0,1,agent_only,agent,Add reproduction scripts for MCP Tavily issue,2025-06-10 00:51:42+00:00,,
9028,6,0,0,6,agent_only,agent,Remove feedback functionality and thumbs up/down buttons,2025-06-09 22:26:58+00:00,,
