number,title,state,created_at,updated_at,closed_at,merged_at,user,labels,label_names,label_count,has_labels,body_length,is_draft,month
9086,chore - Add pydantic lib to type checking,closed,2025-06-11 21:57:14+00:00,2025-06-26 18:31:42+00:00,2025-06-26 18:31:42+00:00,2025-06-26 18:31:42+00:00,raymyers,[],['[NO LABEL]'],0,False,1074,False,2025-06
9085,Add CLI/vscode integration,closed,2025-06-11 21:41:32+00:00,2025-07-11 16:24:57+00:00,2025-07-03 20:42:06+00:00,2025-07-03 20:42:06+00:00,enyst,[],['[NO LABEL]'],0,False,3204,False,2025-06
9084,Add secrets manager documentation to GUI mode docs,closed,2025-06-11 21:24:06+00:00,2025-06-14 16:13:26+00:00,2025-06-14 16:13:24+00:00,2025-06-14 16:13:24+00:00,neubig,[],['[NO LABEL]'],0,False,868,False,2025-06
9082,Move Advanced Configurations under Running OpenHands on your Own,closed,2025-06-11 20:08:03+00:00,2025-06-11 20:36:19+00:00,2025-06-11 20:36:17+00:00,2025-06-11 20:36:17+00:00,mamoodi,[],['[NO LABEL]'],0,False,894,False,2025-06
9081,Split core types package,closed,2025-06-11 19:20:51+00:00,2025-09-15 02:08:12+00:00,2025-09-15 02:08:12+00:00,,enyst,"[{'name': 'Stale', 'color': 'ededed', 'description': 'Inactive for 40 days'}, {'name': 'lint-fix', 'color': '0233D8', 'description': 'Attempts to fix lint issues on the PR'}]","['Stale', 'lint-fix']",2,True,1297,True,2025-06
9080,Fix VSCode workspace dir,closed,2025-06-11 18:26:06+00:00,2025-06-11 19:32:01+00:00,2025-06-11 19:32:00+00:00,2025-06-11 19:32:00+00:00,tofarr,[],['[NO LABEL]'],0,False,1074,False,2025-06
9079,Save CLI settings directly under ~/.openhands,closed,2025-06-11 18:11:18+00:00,2025-07-11 16:26:16+00:00,2025-06-11 19:07:40+00:00,2025-06-11 19:07:40+00:00,enyst,[],['[NO LABEL]'],0,False,1016,False,2025-06
9078,Add workspace settings configuration to CLI,closed,2025-06-11 18:09:32+00:00,2025-06-14 19:06:09+00:00,2025-06-14 19:06:09+00:00,,neubig,[],['[NO LABEL]'],0,False,1024,False,2025-06
9076,Make sure redirect URI is HTTPS unless it is for localhost,closed,2025-06-11 17:58:06+00:00,2025-06-11 18:19:16+00:00,2025-06-11 18:19:15+00:00,2025-06-11 18:19:15+00:00,chuckbutkus,[],['[NO LABEL]'],0,False,828,False,2025-06
9075,Patch release 0.42.1,closed,2025-06-11 17:06:34+00:00,2025-06-11 18:51:01+00:00,2025-06-11 18:50:57+00:00,,mamoodi,[],['[NO LABEL]'],0,False,828,True,2025-06
